Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|23/08/2024|Vente|680000,00|1227||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AB|75||||||||||||0||||||S||386
|||||||000001|23/08/2024|Vente|680000,00||||B053|VALSIERE|34790|GRABELS|34|116||AB|76||||||||||||0||||||L||425
|||||||000001|09/08/2024|Vente|191000,00||||B012|FON DE COMBE|34790|GRABELS|34|116||AX|464||||||||||||0||||||S||100
|||||||000001|30/08/2024|Vente|316643,06||||B050|LA TUILERIE|34790|GRABELS|34|116||AC|99||||||||||||0||||||T||2624
|||||||000001|13/09/2024|Vente|142860,00|934||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|4||131||||||||||1|3|Dépendance||0|0|||
|||||||000001|13/09/2024|Vente|142860,00|934||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|4||1078||||||||||1|2|Appartement||34|2|||
|||||||000001|03/09/2024|Vente|295700,00|273||RUE|0148|DES CINSAULTS|34790|GRABELS|34|116||AW|453||||||||||||0|1|Maison||71|3|S||286
|||||||000001|03/09/2024|Vente|295700,00|||RUE|0011|DES CARIGNANS|34790|GRABELS|34|116||AW|457||||||||||||0||||||AB|RUE|185
|||||||000001|10/09/2024|Vente|162000,00|664||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|189||23||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|162000,00|664||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|189||50|63,84|||||||||1|2|Appartement||66|3|||
|||||||000001|10/09/2024|Vente|494200,00|3||RUE|0061|DE LA MOSSON|34790|GRABELS|34|116||AZ|200||||||||||||0|3|Dépendance||0|0|S||796
|||||||000001|10/09/2024|Vente|494200,00|3||RUE|0061|DE LA MOSSON|34790|GRABELS|34|116||AZ|200||||||||||||0|1|Maison||118|5|S||796
|||||||000001|10/09/2024|Vente|494200,00|||RUE|0061|DE LA MOSSON|34790|GRABELS|34|116||AZ|201||||||||||||0||||||AG||700
